,repository_name,linguagens
196,Shakespeare_RNN,Python
197,Spartacus,C#
198,speech2spikes,Python
199,spring-petclinic,Java
200,terraform-templates-aws,HCL
201,timeseriesr,R
202,tldr,Shell
203,tldr-alb,Shell
204,tldr-elasticsearch,
205,tldr-kibana,
206,tldr-logspout,
207,tldr-logstash,
208,tldr-promdash,Shell
209,tldr-prometheus,Shell
210,tldr-todo-backend,JavaScript
211,tldr-todo-client,JavaScript
212,ts-pass-through,
213,VulFi,Python
214,vulnerable-docker-launcher,Shell
215,waterfall-config,Java
216,zeo,Rust
217,zordon,
